symbol,B/S,Trade Date,Settle Date,Acct Type,Price,QTY,Principal,Comm,Contr Fee,Tran Fee,Net Amount,MKT,CAP,U/S,Tram Fee
ASO,S,07/09/2025,07/10/2025,C,44.0,1,44.0,0.0,0.0,0.0,44.0,OTC,1,U,
QQQ,S,07/09/2025,07/10/2025,C,557.325,1,557.33,0.0,0.0,0.0,557.33,OTC,1,U,
QQQ,S,07/09/2025,07/10/2025,C,552.0,1,552.0,0.0,0.0,0.0,552.0,OTC,1,U,
QQQ,S,07/09/2025,07/10/2025,C,556.235,1,556.24,0.0,0.0,0.0,556.24,OTC,1,U,
QQQ,B,07/09/2025,07/10/2025,C,552.1,1,552.1,0.0,0.0,0.0,552.1,OTC,1,U,
CUBE,B,07/09/2025,07/10/2025,C,44.0,1,44.0,0.0,0.0,0.0,44.0,OTC,1,U,
AAPL,S,07/09/2025,07/10/2025,C,209.95,1,209.95,0.0,0.0,0.0,209.95,OTC,1,U,
NVDA,B,07/09/2025,07/10/2025,C,160.3,1,160.3,0.0,0.0,0.0,160.3,OTC,1,U,
NCLH,S,07/09/2025,07/10/2025,C,21.6,1,21.6,0.0,0.0,0.0,21.6,OTC,1,U,
SPY,S,07/09/2025,07/10/2025,C,621.69,1,621.69,0.0,0.0,0.0,621.69,OTC,1,U,
VZ,S,07/09/2025,07/10/2025,C,43.06,1,43.06,0.0,0.0,0.0,43.06,OTC,1,U,
AMZN,S,07/09/2025,07/10/2025,C,220.23,1,220.23,0.0,0.0,0.0,220.23,OTC,1,U,
CPB,S,07/09/2025,07/10/2025,C,30.845,1,30.85,0.0,0.0,0.0,30.85,OTC,1,U,
AXP,S,07/09/2025,07/10/2025,C,316.04,1,316.04,0.0,0.0,0.0,316.04,OTC,1,U,
AAPL,S,07/09/2025,07/10/2025,C,210.03,1,210.03,0.0,0.0,0.0,210.03,OTC,1,U,
QQQ,B,07/09/2025,07/10/2025,C,557.05,1,557.05,0.0,0.0,0.0,557.05,OTC,1,U,
QQQ,B,07/09/2025,07/10/2025,C,554.01,1,554.01,0.0,0.0,0.0,554.01,OTC,1,U,
FBTC,S,07/09/2025,07/10/2025,C,94.8,1,94.8,0.0,0.0,0.0,94.8,OTC,1,U,
NCLH,B,07/09/2025,07/10/2025,C,21.72,1,21.72,0.0,0.0,0.0,21.72,OTC,1,U,
NCLH,S,07/09/2025,07/10/2025,C,21.92,1,21.92,0.0,0.0,0.0,21.92,OTC,1,U,
VZ,S,07/09/2025,07/10/2025,C,42.66,1,42.66,0.0,0.0,0.0,42.66,OTC,1,U,
SPY,B,07/09/2025,07/10/2025,C,620.25,1,620.25,0.0,0.0,0.0,620.25,OTC,1,U,
AMZN,B,07/09/2025,07/10/2025,C,220.32,1,220.32,0.0,0.0,0.0,220.32,OTC,1,U,
CPB,B,07/09/2025,07/10/2025,C,30.84,1,30.84,0.0,0.0,,30.84,OTC,1,U,0.0
CPB,S,07/09/2025,07/10/2025,C,31.0,1,31.0,0.0,0.0,,31.0,OTC,1,U,0.0
CPB,B,07/09/2025,07/10/2025,C,30.94,1,30.94,0.0,0.0,,30.94,OTC,1,U,0.0
CPB,S,07/09/2025,07/10/2025,C,31.0,1,31.0,0.0,0.0,,31.0,OTC,1,U,0.0
QQQ,B,07/09/2025,07/10/2025,C,556.29,1,556.29,0.0,0.0,,556.29,OTC,1,U,0.0
CUBE,S,07/09/2025,07/10/2025,C,42.0,1,42.0,0.0,0.0,,42.0,OTC,1,U,0.0
FBTC,B,07/09/2025,07/10/2025,C,94.93,1,94.93,0.0,0.0,,94.93,OTC,1,U,0.0
ASO,B,07/09/2025,07/10/2025,C,50.0,1,50.0,0.0,0.0,,50.0,OTC,1,U,0.0
GME,B,07/09/2025,07/10/2025,C,22.84,1,22.84,0.0,0.0,,22.84,OTC,1,U,0.0
AAPL,B,07/09/2025,07/10/2025,C,210.12,1,210.12,0.0,0.0,,210.12,OTC,1,U,0.0
AAPL,B,07/09/2025,07/10/2025,C,210.0,1,210.0,0.0,0.0,,210.0,OTC,1,U,0.0
GPC,B,07/09/2025,07/10/2025,C,131.0,1,131.0,0.0,0.0,,131.0,OTC,1,U,0.0
CPB,S,07/09/2025,07/10/2025,C,30.94,1,30.94,0.0,0.0,0.0,30.94,OTC,1,U,
CPB,B,07/09/2025,07/10/2025,C,31.08,1,31.08,0.0,0.0,0.0,31.08,OTC,1,U,
AXP,B,07/09/2025,07/10/2025,C,316.89,1,316.89,0.0,0.0,0.0,316.89,OTC,1,U,
EQT,B,07/09/2025,07/10/2025,C,55.5,1,55.5,0.0,0.0,0.0,55.5,OTC,1,U,
VZ,B,07/09/2025,07/10/2025,C,42.7,1,42.7,0.0,0.0,0.0,42.7,OTC,1,U,
SPY,S,07/09/2025,07/10/2025,C,620.14,1,620.14,0.0,0.0,0.0,620.14,OTC,1,U,
QQQ,S,07/09/2025,07/10/2025,C,553.96,1,553.96,0.0,0.0,0.0,553.96,OTC,1,U,
GME,S,07/09/2025,07/10/2025,C,22.8,1,22.8,0.0,0.0,0.0,22.8,OTC,1,U,
NVDA,S,07/09/2025,07/10/2025,C,160.28,1,160.28,0.0,0.0,0.0,160.28,OTC,1,U,
GPC,S,07/09/2025,07/10/2025,C,123.46,1,123.46,0.0,0.0,0.0,123.46,OTC,1,U,
EQT,S,07/09/2025,07/10/2025,C,54.94,1,54.94,0.0,0.0,0.0,54.94,OTC,1,U,
SPY,B,07/09/2025,07/10/2025,C,621.73,1,621.73,0.0,0.0,0.0,621.73,OTC,1,U,
VZ,B,07/09/2025,07/10/2025,C,43.2,1,43.2,0.0,0.0,,43.2,OTC,1,U,0.0
CPB,B,07/09/2025,07/10/2025,C,31.2,1,31.2,0.0,0.0,,31.2,OTC,1,U,0.0
NCLH,B,07/09/2025,07/10/2025,C,21.94,1,21.94,0.0,0.0,,21.94,OTC,1,U,0.0
BBY,B,07/09/2025,07/10/2025,C,72.27,1,72.27,0.0,0.0,,72.27,OTC,1,U,0.0
BBY,S,07/09/2025,07/10/2025,C,71.83,1,71.83,0.0,0.0,,71.83,OTC,1,U,0.0
